,value,value,value,value,value,value
,min,max,mean,median,std,var
metric_name,,,,,,
BatchDeliveryConfirmResponse_received,1.0,86.0,28.444444444444443,13.0,33.31332732973063,1109.7777777777778
BatchDeliveryConfirmResponse_sent,1.0,86.0,12.19047619047619,3.0,20.061453206632482,402.46190476190475
BatchRequest_received,34.0,691.0,247.13636363636363,169.0,201.00563731837534,40403.26623376624
BatchRequest_sent,40.0,778.0,248.4090909090909,183.0,194.29522433434693,37750.6341991342
BatchSentResponse_received,1.0,86.0,12.19047619047619,3.0,20.061453206632482,402.46190476190475
BatchSentResponse_sent,1.0,86.0,28.444444444444443,13.0,33.31332732973063,1109.7777777777778
BatchUnavailableResponse_received,30.0,774.0,241.95238095238096,185.0,196.84320567153853,38747.247619047615
BatchUnavailableResponse_sent,26.0,691.0,246.57142857142858,176.0,200.12260527700798,40049.05714285714
HeartbeatReq_received,50.0,509.0,228.43478260869566,195.0,129.9548264474854,16888.256916996048
HeartbeatReq_sent,60.0,449.0,234.34782608695653,237.0,114.97929010978541,13220.237154150196
HeartbeatResp_received,60.0,450.0,221.7826086956522,201.0,119.00074733216026,14161.177865612648
HeartbeatResp_sent,50.0,509.0,228.47826086956522,195.0,129.93070515583486,16881.988142292492
InformLeaderOfDeathReq_received,17.0,17.0,17.0,17.0,,
InformLeaderOfDeathReq_sent,1.0,7.0,3.4,1.0,3.286335345030997,10.8
WaitingForBatchResponse_received,1.0,86.0,28.444444444444443,13.0,33.31332732973063,1109.7777777777778
WaitingForBatchResponse_sent,1.0,86.0,12.19047619047619,3.0,20.061453206632482,402.46190476190475
batch_unavailable_messages_received,30.0,774.0,242.04761904761904,185.0,196.85717568594652,38752.747619047615
batch_unavailable_messages_sent,0.0,690.0,185.0,131.0,203.62456375143682,41462.962962962956
batches_consumed_total,0.0,85.0,7.892857142857143,0.0,18.308749751425342,335.2103174603175
batches_delivered,0.0,86.0,9.142857142857142,0.0,22.62367538289674,511.83068783068785
batches_produced_total,0.0,685.0,30.821428571428573,0.0,129.33936227970443,16728.670634920632
batches_received,1.0,86.0,12.19047619047619,3.0,20.061453206632482,402.46190476190475
batches_requested,40.0,778.0,248.45454545454547,183.0,194.24033401769924,37729.307359307364
bootstrap_all_paths_time_sec,0.00018858909606933596,0.00018858909606933596,0.00018858909606933596,0.00018858909606933596,,
empty_outbound_inventory_occurrences,0.0,691.0,185.03571428571428,131.0,203.73066500267913,41506.18386243386
failed_flow_queries,0.0,0.0,0.0,0.0,0.0,0.0
flow_queries,724.0,1457.0,939.6071428571429,853.0,223.97161514695202,50163.28439153439
full_flow_bootstrap_time_sec,0.00425410270690918,0.00425410270690918,0.00425410270690918,0.00425410270690918,,
heartbeats_sent,60.0,450.0,234.17391304347825,237.0,114.91564185559338,13205.604743083006
inbound_wal_size,0.0,171.0,18.285714285714285,2.5,37.04237527666883,1372.137566137566
num_nodes,26.0,26.0,26.0,26.0,,
outbound_wal_size,0.0,682.0,30.714285714285715,0.0,128.7774011526054,16583.61904761905
received_messages,0.0,1794.0,773.4642857142857,657.5,575.04154324277,330672.77645502647
sent_messages,0.0,1800.0,788.5357142857143,677.5,585.1868003209241,342443.5912698412
skipped_manufacture_cycles,0.0,193.0,78.96428571428571,67.0,60.687104092835106,3682.9246031746034
successful_manufacture_cycles,0.0,685.0,30.821428571428573,0.0,129.33936227970443,16728.670634920632
total_manufacture_cycles,686.0,739.0,715.3571428571429,715.0,14.241863917012019,202.8306878306889
unanswered_batch_requests_current,0.0,57.0,4.714285714285714,0.0,13.748689211210465,189.02645502645504
wal_ghost_inbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_ghost_outbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_recovered_inbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_recovered_outbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
