,value,value,value,value,value,value
,min,max,mean,median,std,var
metric_name,,,,,,
BatchDeliveryConfirmResponse_received,9.0,347.0,81.5,37.5,93.30023222550592,8704.933333333334
BatchDeliveryConfirmResponse_sent,23.0,204.0,81.5,66.5,55.87366702362274,3121.8666666666672
BatchRequest_received,196.0,926.0,418.9375,395.0,182.83452217784253,33428.462499999994
BatchRequest_sent,143.0,865.0,419.9375,392.5,211.64954327063091,44795.52916666667
BatchSentResponse_received,23.0,204.0,81.5,66.5,55.87366702362274,3121.8666666666672
BatchSentResponse_sent,9.0,347.0,82.125,37.5,93.84659468160436,8807.183333333332
BatchUnavailableResponse_received,63.0,810.0,382.2857142857143,377.0,226.2579972480118,51192.68131868132
BatchUnavailableResponse_sent,143.0,882.0,359.06666666666666,339.0,191.74516818895208,36766.20952380952
HeartbeatReq_received,196.0,710.0,379.1764705882353,340.0,158.5403084763137,25135.029411764706
HeartbeatReq_sent,196.0,660.0,382.52941176470586,360.0,152.45208987049787,23241.639705882357
HeartbeatResp_received,197.0,653.0,377.11764705882354,349.0,147.47325280917096,21748.360294117647
HeartbeatResp_sent,195.0,709.0,378.8235294117647,340.0,158.51192198621752,25126.029411764706
InformLeaderOfDeathReq_received,8.0,8.0,8.0,8.0,,
InformLeaderOfDeathReq_sent,1.0,6.0,2.6666666666666665,1.0,2.8867513459481287,8.333333333333332
WaitingForBatchResponse_received,9.0,347.0,81.5,37.5,93.30023222550592,8704.933333333334
WaitingForBatchResponse_sent,23.0,204.0,81.5,66.5,55.87366702362274,3121.8666666666672
batch_unavailable_messages_received,63.0,810.0,382.2857142857143,377.0,226.2579972480118,51192.68131868132
batch_unavailable_messages_sent,0.0,881.0,299.1666666666667,269.5,221.67417796502727,49139.44117647059
batches_consumed_total,0.0,204.0,71.61111111111111,48.0,58.84989768484173,3463.31045751634
batches_delivered,0.0,347.0,72.44444444444444,27.5,91.51741860704296,8375.437908496731
batches_produced_total,0.0,689.0,93.44444444444444,29.0,160.48464182418797,25755.320261437908
batches_received,23.0,204.0,81.5,66.5,55.87366702362274,3121.8666666666672
batches_requested,143.0,864.0,419.9375,392.5,211.55124477692556,44753.92916666667
bootstrap_all_paths_time_sec,9.083747863769533e-05,9.083747863769533e-05,9.083747863769533e-05,9.083747863769533e-05,,
empty_outbound_inventory_occurrences,0.0,882.0,299.3888888888889,270.0,221.82906479297995,49208.13398692809
failed_flow_queries,0.0,0.0,0.0,0.0,0.0,0.0
flow_queries,739.0,1725.0,1178.5555555555557,1141.5,268.49783047041603,72091.08496732028
full_flow_bootstrap_time_sec,0.00457453727722168,0.00457453727722168,0.00457453727722168,0.00457453727722168,,
heartbeats_sent,197.0,660.0,382.2352941176471,360.0,152.22743240451305,23173.191176470587
inbound_wal_size,0.0,407.0,145.33333333333334,102.5,125.66154355812985,15790.823529411764
num_nodes,16.0,16.0,16.0,16.0,,
outbound_wal_size,0.0,683.0,93.11111111111111,29.0,159.1757773801503,25336.928104575163
received_messages,0.0,2798.0,1601.6666666666667,1631.5,640.8178597790208,410647.52941176464
sent_messages,0.0,3053.0,1609.7222222222222,1667.5,710.9303602492885,505421.97712418303
skipped_manufacture_cycles,0.0,700.0,289.77777777777777,269.0,184.29597536557253,33965.006535947716
successful_manufacture_cycles,0.0,690.0,93.44444444444444,29.0,160.68537845638974,25819.7908496732
total_manufacture_cycles,688.0,740.0,713.1666666666666,713.0,14.221979675219407,202.2647058823539
unanswered_batch_requests_current,0.0,48.0,3.5555555555555554,0.0,11.713351970255353,137.20261437908496
wal_ghost_inbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_ghost_outbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_recovered_inbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_recovered_outbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
