,value,value,value,value,value,value
,min,max,mean,median,std,var
metric_name,,,,,,
BatchDeliveryConfirmResponse_received,1.0,6.0,1.8333333333333333,1.0,2.0412414523193148,4.166666666666666
BatchDeliveryConfirmResponse_sent,1.0,3.0,1.5714285714285714,1.0,0.7867957924694432,0.6190476190476191
BatchRequest_received,1.0,38.0,15.3,13.5,12.63197002318588,159.5666666666667
BatchRequest_sent,1.0,93.0,16.0,8.0,26.27165773224065,690.2
BatchSentResponse_received,1.0,3.0,1.5714285714285714,1.0,0.7867957924694432,0.6190476190476191
BatchSentResponse_sent,1.0,7.0,2.1666666666666665,1.0,2.401388487243717,5.7666666666666675
BatchUnavailableResponse_received,2.0,74.0,16.0,8.5,23.838743974582936,568.2857142857142
BatchUnavailableResponse_sent,1.0,38.0,17.375,14.0,12.805551251591742,163.98214285714286
HeartbeatReq_received,5.0,30.0,15.0,10.0,8.660254037844387,75.0
HeartbeatReq_sent,19.0,40.0,28.428571428571427,30.0,7.114706432386907,50.61904761904763
HeartbeatResp_received,4.0,30.0,18.428571428571427,21.0,8.423323628614833,70.95238095238095
HeartbeatResp_sent,5.0,30.0,15.0,10.0,8.660254037844387,75.0
InformLeaderOfDeathReq_received,10.0,10.0,10.0,10.0,,
InformLeaderOfDeathReq_sent,1.0,4.0,2.0,1.0,1.4142135623730951,2.0
WaitingForBatchResponse_received,1.0,6.0,1.8333333333333333,1.0,2.0412414523193148,4.166666666666666
WaitingForBatchResponse_sent,1.0,3.0,1.5714285714285714,1.0,0.7867957924694432,0.6190476190476191
batch_unavailable_messages_received,2.0,74.0,16.0,8.5,23.838743974582936,568.2857142857142
batch_unavailable_messages_sent,0.0,38.0,9.928571428571429,4.0,12.958301679525075,167.9175824175824
batches_consumed_total,0.0,3.0,0.5,0.0,0.8548504142651103,0.7307692307692307
batches_delivered,0.0,6.0,0.7857142857142857,0.0,1.5776599725577718,2.4890109890109895
batches_produced_total,0.0,716.0,51.357142857142854,0.0,191.29783751355538,36594.86263736264
batches_received,1.0,3.0,1.5714285714285714,1.0,0.7867957924694432,0.6190476190476191
batches_requested,1.0,93.0,16.0,8.0,26.27165773224065,690.2
bootstrap_all_paths_time_sec,2.2172927856445312e-05,2.2172927856445312e-05,2.2172927856445312e-05,2.2172927856445312e-05,,
empty_outbound_inventory_occurrences,0.0,38.0,10.0,4.5,12.907958189248392,166.6153846153846
failed_flow_queries,0.0,0.0,0.0,0.0,0.0,0.0
flow_queries,567.0,1439.0,726.5,671.5,213.33965335189725,45513.80769230768
full_flow_bootstrap_time_sec,0.004264593124389648,0.004264593124389648,0.004264593124389648,0.004264593124389648,,
heartbeats_sent,20.0,40.0,28.571428571428573,30.0,6.900655593423542,47.61904761904761
inbound_wal_size,0.0,7.0,1.6428571428571428,1.5,2.0232168923292906,4.093406593406593
num_nodes,11.0,11.0,11.0,11.0,,
outbound_wal_size,0.0,715.0,51.57142857142857,0.0,190.94973735986704,36461.8021978022
received_messages,0.0,116.0,44.214285714285715,41.5,33.43001546613363,1117.5659340659338
sent_messages,0.0,136.0,51.857142857142854,53.5,37.486114645409586,1405.208791208791
skipped_manufacture_cycles,0.0,93.0,10.285714285714286,4.0,24.033401665274013,577.6043956043957
successful_manufacture_cycles,0.0,716.0,51.642857142857146,0.0,191.21699600307386,36563.93956043956
total_manufacture_cycles,568.0,752.0,664.7857142857143,663.0,64.51139263897332,4161.719780219781
unanswered_batch_requests_current,0.0,19.0,2.7142857142857144,0.0,5.954036399834104,35.45054945054945
wal_ghost_inbound_batches,0.0,1.0,0.35714285714285715,0.0,0.4972451580988469,0.24725274725274723
wal_ghost_outbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_recovered_inbound_batches,0.0,3.0,0.6428571428571429,0.0,0.9287827316640651,0.8626373626373627
wal_recovered_outbound_batches,0.0,3.0,0.5,0.0,0.8548504142651103,0.7307692307692307
