,value,value,value,value,value,value
,min,max,mean,median,std,var
metric_name,,,,,,
BatchDeliveryConfirmResponse_received,168.0,346.0,257.0,257.0,102.7683479157534,10561.333333333334
BatchDeliveryConfirmResponse_sent,168.0,346.0,256.75,256.5,97.43844210577261,9494.25
BatchRequest_received,170.0,1079.0,534.25,444.0,393.67023001492,154976.25
BatchRequest_sent,345.0,712.0,534.75,541.0,150.00972190717064,22502.916666666668
BatchSentResponse_received,169.0,346.0,256.75,256.0,97.41107055497679,9488.916666666666
BatchSentResponse_sent,168.0,346.0,257.0,257.0,102.7683479157534,10561.333333333334
BatchUnavailableResponse_received,362.0,376.0,370.6666666666667,374.0,7.571877794400362,57.333333333333286
BatchUnavailableResponse_sent,2.0,736.0,370.6666666666667,374.0,367.0113531395634,134697.33333333334
HeartbeatReq_received,193.0,586.0,388.8,388.0,138.952150037342,19307.7
HeartbeatReq_sent,197.0,579.0,389.0,390.0,135.06109728563587,18241.5
HeartbeatResp_received,197.0,578.0,389.0,390.0,134.7108013486669,18147.0
HeartbeatResp_sent,193.0,587.0,389.2,388.0,139.30434307658896,19405.699999999997
WaitingForBatchResponse_received,168.0,346.0,257.0,257.0,102.7683479157534,10561.333333333334
WaitingForBatchResponse_sent,169.0,346.0,257.0,256.5,97.1356439899038,9435.333333333334
batch_unavailable_messages_received,361.0,376.0,370.3333333333333,374.0,8.14452781524708,66.33333333333339
batch_unavailable_messages_sent,0.0,736.0,139.0,0.0,274.38450601821006,75286.85714285714
batches_consumed_total,0.0,345.0,128.0,84.0,150.74197443692603,22723.14285714286
batches_delivered,0.0,346.0,128.5,84.0,152.96218019964468,23397.428571428572
batches_produced_total,0.0,712.0,196.125,167.5,240.7401904246864,57955.839285714275
batches_received,168.0,346.0,256.75,256.5,97.43844210577261,9494.25
batches_requested,345.0,712.0,534.5,540.5,150.0011111069959,22500.33333333333
bootstrap_all_paths_time_sec,0.000118255615234375,0.000118255615234375,0.000118255615234375,0.000118255615234375,,
empty_outbound_inventory_occurrences,0.0,736.0,139.0,0.0,274.38450601821006,75286.85714285714
failed_flow_queries,0.0,0.0,0.0,0.0,0.0,0.0
flow_queries,744.0,2120.0,1187.125,969.5,528.4541979071737,279263.83928571426
full_flow_bootstrap_time_sec,0.008380413055419922,0.008380413055419922,0.008380413055419922,0.008380413055419922,,
heartbeats_sent,197.0,579.0,389.2,390.0,135.06183768925993,18241.699999999997
inbound_wal_size,0.0,691.0,256.125,335.0,243.1380780544257,59116.12500000001
num_nodes,6.0,6.0,6.0,6.0,,
outbound_wal_size,0.0,709.0,195.75,167.5,239.82240452944697,57514.7857142857
received_messages,0.0,3283.0,1277.75,1459.5,1203.022117122422,1447262.2142857143
sent_messages,0.0,3285.0,1278.25,1288.5,1263.4258133006012,1596244.7857142857
skipped_manufacture_cycles,0.0,543.0,246.0,172.5,270.7012058656977,73279.14285714286
successful_manufacture_cycles,0.0,712.0,196.25,167.5,240.82877735021617,57998.5
total_manufacture_cycles,692.0,754.0,723.5,713.5,22.859821271642275,522.5714285714287
unanswered_batch_requests_current,0.0,0.0,0.0,0.0,0.0,0.0
wal_ghost_inbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_ghost_outbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_recovered_inbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_recovered_outbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
