,value,value,value,value,value,value
,min,max,mean,median,std,var
metric_name,,,,,,
BatchDeliveryConfirmResponse_received,1.0,85.0,25.875,5.5,34.60981487546973,1197.8392857142858
BatchDeliveryConfirmResponse_sent,1.0,78.0,8.916666666666666,3.0,16.696567381316452,278.77536231884056
BatchRequest_received,22.0,1329.0,465.6551724137931,353.0,411.60741315187266,169420.66256157638
BatchRequest_sent,7.0,1346.0,466.0344827586207,353.0,450.12700451877396,202614.32019704435
BatchSentResponse_received,1.0,78.0,8.916666666666666,3.0,16.696567381316452,278.77536231884056
BatchSentResponse_sent,1.0,85.0,27.25,9.0,34.87426394512558,1216.2142857142858
BatchUnavailableResponse_received,12.0,1346.0,491.48148148148147,386.0,453.89734271176087,206022.7977207977
BatchUnavailableResponse_sent,19.0,1326.0,474.0,426.0,411.0163554464037,168934.44444444444
HeartbeatReq_received,10.0,799.0,435.18518518518516,599.0,303.60070399191676,92173.38746438747
HeartbeatReq_sent,70.0,838.0,589.75,652.5,186.4208241699691,34752.723684210534
HeartbeatResp_received,70.0,825.0,582.65,646.0,189.07984250603042,35751.186842105264
HeartbeatResp_sent,10.0,798.0,435.25925925925924,600.0,303.5612462081255,92149.43019943018
InformLeaderOfDeathReq_received,18.0,18.0,18.0,18.0,,
InformLeaderOfDeathReq_sent,1.0,8.0,3.0,1.0,3.1622776601683795,10.0
WaitingForBatchResponse_received,1.0,85.0,25.875,5.5,34.60981487546973,1197.8392857142858
WaitingForBatchResponse_sent,1.0,78.0,8.916666666666666,3.0,16.696567381316452,278.77536231884056
batch_unavailable_messages_received,12.0,1346.0,491.48148148148147,386.0,454.01866874276385,206132.95156695155
batch_unavailable_messages_sent,0.0,1327.0,349.39473684210526,119.5,409.9711617724642,168076.353485064
batches_consumed_total,0.0,78.0,3.973684210526316,0.0,14.018302403499511,196.51280227596018
batches_delivered,0.0,85.0,5.447368421052632,0.0,18.463546800525407,340.90256045519203
batches_produced_total,0.0,648.0,20.657894736842106,0.0,105.41815739691903,11112.987908961593
batches_received,1.0,78.0,8.916666666666666,3.0,16.696567381316452,278.77536231884056
batches_requested,7.0,1344.0,466.2068965517241,353.0,450.26709369553606,202740.45566502467
bootstrap_all_paths_time_sec,0.0008656978607177733,0.002763032913208008,0.0018143653869628906,0.0018143653869628906,0.0013416184817987788,1.7999401507040602e-06
empty_outbound_inventory_occurrences,0.0,1328.0,349.63157894736844,119.5,410.20011076023593,168264.1308677098
failed_flow_queries,0.0,1.0,0.02631578947368421,0.0,0.16222142113076254,0.02631578947368421
flow_queries,690.0,1942.0,1044.3947368421052,847.0,381.54370225218923,145575.59672830722
full_flow_bootstrap_time_sec,0.0074863433837890625,0.00960850715637207,0.008547425270080566,0.008547425270080566,0.001500596394381871,2.251789538831872e-06
heartbeats_sent,70.0,838.0,590.0,653.5,186.36720967516055,34732.73684210525
inbound_wal_size,0.0,156.0,11.368421052631579,2.0,29.802431474023546,888.1849217638692
num_nodes,36.0,36.0,36.0,36.0,,
outbound_wal_size,0.0,640.0,20.44736842105263,0.0,104.13159485449975,10843.389046941678
received_messages,0.0,3266.0,1337.5526315789473,561.5,1324.7932362360066,1755077.1187766716
sent_messages,0.0,3282.0,1342.1842105263158,482.5,1334.1563759243631,1779973.2354196303
skipped_manufacture_cycles,0.0,225.0,78.3157894736842,47.5,75.36366077610684,5679.681365576104
successful_manufacture_cycles,0.0,648.0,20.63157894736842,0.0,105.40357987987694,11109.914651493598
total_manufacture_cycles,599.0,721.0,669.078947368421,679.0,44.214087017079926,1954.8854907539157
unanswered_batch_requests_current,0.0,20.0,1.131578947368421,0.0,3.7573067743134265,14.117354196301566
wal_ghost_inbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_ghost_outbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_recovered_inbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_recovered_outbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
