,value,value,value,value,value,value
,min,max,mean,median,std,var
metric_name,,,,,,
BatchDeliveryConfirmResponse_received,1.0,38.0,12.6,5.0,15.565988564816564,242.3
BatchDeliveryConfirmResponse_sent,1.0,26.0,3.5,1.5,6.1667991506701325,38.02941176470587
BatchRequest_received,16.0,466.0,201.72972972972974,190.0,126.3912902784771,15974.758258258262
BatchRequest_sent,12.0,617.0,201.64864864864865,144.0,185.33456477651683,34348.90090090091
BatchSentResponse_received,1.0,26.0,3.5,1.5,6.1667991506701325,38.02941176470587
BatchSentResponse_sent,1.0,38.0,12.6,5.0,15.565988564816564,242.3
BatchUnavailableResponse_received,12.0,616.0,211.54285714285714,152.0,185.1561094696839,34282.784873949575
BatchUnavailableResponse_sent,16.0,466.0,205.55555555555554,192.0,124.82844100019707,15582.139682539682
HeartbeatReq_received,20.0,460.0,219.67567567567568,220.0,115.87566470001227,13427.169669669669
HeartbeatReq_sent,30.0,478.0,245.9090909090909,269.0,107.10519467921586,11471.52272727273
HeartbeatResp_received,30.0,480.0,246.27272727272728,270.0,107.53001695087073,11562.704545454546
HeartbeatResp_sent,20.0,459.0,219.51351351351352,219.0,115.72227808700296,13391.645645645645
InformLeaderOfDeathReq_received,454.0,454.0,454.0,454.0,,
InformLeaderOfDeathReq_sent,1.0,44.0,14.64516129032258,8.0,14.00130562268337,196.03655913978494
WaitingForBatchResponse_received,1.0,38.0,12.6,5.0,15.565988564816564,242.3
WaitingForBatchResponse_sent,1.0,26.0,3.5,1.5,6.1667991506701325,38.02941176470587
batch_unavailable_messages_received,12.0,617.0,211.6,152.0,185.21659816359366,34305.188235294125
batch_unavailable_messages_sent,0.0,465.0,154.22916666666666,139.0,140.3602113080474,19700.98891843972
batches_consumed_total,0.0,17.0,0.5208333333333334,0.0,2.5515083843603166,6.510195035460994
batches_delivered,0.0,38.0,1.3125,0.0,5.979241572911571,35.751329787234035
batches_produced_total,0.0,623.0,13.5,0.0,89.88171896584599,8078.723404255318
batches_received,1.0,26.0,3.5,1.5,6.1667991506701325,38.02941176470587
batches_requested,12.0,618.0,201.67567567567568,144.0,185.25853617370842,34320.72522522523
bootstrap_all_paths_time_sec,0.0005955696105957031,0.005502700805664063,0.0038666725158691406,0.005501747131347656,0.0028328582544913748,8.025085890039918e-06
empty_outbound_inventory_occurrences,0.0,466.0,154.27083333333334,139.5,140.4618127226519,19729.520833333332
failed_flow_queries,0.0,0.0,0.0,0.0,0.0,0.0
flow_queries,682.0,1284.0,837.1666666666666,817.0,143.06155992815826,20466.609929078015
full_flow_bootstrap_time_sec,0.005697011947631836,0.15613627433776855,0.05862871805826823,0.014052867889404295,0.08454731060672395,0.007148247730829857
heartbeats_sent,30.0,478.0,246.0,269.0,107.37580034626053,11529.562500000004
inbound_wal_size,0.0,43.0,2.625,0.0,8.403709920358503,70.62234042553192
num_nodes,46.0,46.0,46.0,46.0,,
outbound_wal_size,0.0,620.0,13.4375,0.0,89.44888145537105,8001.102393617022
received_messages,0.0,1669.0,661.8333333333334,678.0,538.281360159383,289746.82269503543
sent_messages,0.0,1533.0,661.0,678.5,532.5473907590341,283606.72340425535
skipped_manufacture_cycles,0.0,85.0,26.125,24.0,21.87257585352226,478.4095744680851
successful_manufacture_cycles,0.0,623.0,13.5,0.0,89.88171896584599,8078.723404255318
total_manufacture_cycles,618.0,706.0,668.75,667.5,23.44618101643247,549.7234042553183
unanswered_batch_requests_current,0.0,0.0,0.0,0.0,0.0,0.0
wal_ghost_inbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_ghost_outbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_recovered_inbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_recovered_outbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
