,value,value,value,value,value,value
,min,max,mean,median,std,var
metric_name,,,,,,
BatchDeliveryConfirmResponse_received,3.0,58.0,23.0,8.0,30.4138126514911,925.0
BatchDeliveryConfirmResponse_sent,1.0,43.0,5.75,1.0,12.395930417241413,153.65909090909088
BatchRequest_received,11.0,839.0,206.32692307692307,151.5,168.2944106995234,28323.008672699856
BatchRequest_sent,14.0,578.0,206.46153846153845,185.5,143.10074081260422,20477.82202111613
BatchSentResponse_received,1.0,43.0,5.75,1.0,12.395930417241413,153.65909090909088
BatchSentResponse_sent,3.0,58.0,23.333333333333332,9.0,30.171730698343,910.3333333333335
BatchUnavailableResponse_received,13.0,564.0,207.48,192.5,131.8447200462788,17383.03020408163
BatchUnavailableResponse_sent,11.0,830.0,208.98039215686273,156.0,168.01958102507916,28230.57960784314
HeartbeatReq_received,20.0,480.0,227.79245283018867,229.0,92.56273516888342,8567.859941944847
HeartbeatReq_sent,40.0,540.0,235.55769230769232,194.5,111.10221639862898,12343.702488687784
HeartbeatResp_received,40.0,522.0,228.55769230769232,190.0,106.46704607742475,11335.231900452487
HeartbeatResp_sent,20.0,479.0,227.83018867924528,230.0,92.47405786927418,8551.45137880987
InformLeaderOfDeathReq_received,1441.0,1441.0,1441.0,1441.0,,
InformLeaderOfDeathReq_sent,4.0,240.0,71.03921568627452,65.0,50.22029899724363,2522.07843137255
WaitingForBatchResponse_received,3.0,58.0,23.0,8.0,30.4138126514911,925.0
WaitingForBatchResponse_sent,1.0,43.0,5.75,1.0,12.395930417241413,153.65909090909088
batch_unavailable_messages_received,13.0,564.0,207.54,192.5,131.86607460849459,17388.661632653064
batch_unavailable_messages_sent,0.0,827.0,183.74137931034483,130.5,171.49983994108717,29412.195099818524
batches_consumed_total,0.0,9.0,0.20689655172413793,0.0,1.2391086310880994,1.5353901996370236
batches_delivered,0.0,58.0,1.1896551724137931,0.0,7.671905677282089,58.85813672111314
batches_produced_total,0.0,568.0,10.0,0.0,74.56470168143976,5559.894736842105
batches_received,1.0,43.0,5.75,1.0,12.395930417241413,153.65909090909088
batches_requested,14.0,578.0,206.51923076923077,185.5,143.14335203134385,20490.019230769234
bootstrap_all_paths_time_sec,0.0002942085266113281,0.01161336898803711,0.007711827754974365,0.009469866752624512,0.005047557496638142,2.547783668186791e-05
empty_outbound_inventory_occurrences,0.0,830.0,183.8448275862069,130.5,171.7050512416556,29482.624621899577
failed_flow_queries,0.0,2.0,0.034482758620689655,0.0,0.2626128657194451,0.06896551724137931
flow_queries,536.0,1424.0,813.6379310344828,759.0,171.54230190542714,29426.76134301271
full_flow_bootstrap_time_sec,0.005021095275878906,0.02294182777404785,0.01739400625228882,0.020806550979614258,0.008322134719208127,6.925792628464933e-05
heartbeats_sent,40.0,539.0,235.53846153846155,194.5,111.0254274953621,12326.645550527906
inbound_wal_size,0.0,58.0,2.396551724137931,0.0,10.321056071308897,106.52419842710225
num_nodes,56.0,56.0,56.0,56.0,,
outbound_wal_size,0.0,562.0,9.89655172413793,0.0,73.77697298132223,5443.04174228675
received_messages,0.0,2252.0,805.4827586206897,805.0,464.04008603988694,215333.20145190568
sent_messages,0.0,2035.0,853.6551724137931,867.0,479.9917964110424,230392.12462189957
skipped_manufacture_cycles,0.0,103.0,27.310344827586206,25.0,18.694409424709225,349.48094373865706
successful_manufacture_cycles,0.0,568.0,10.0,0.0,74.56470168143976,5559.894736842105
total_manufacture_cycles,470.0,671.0,619.3275862068965,620.0,30.766459255559738,946.5750151240175
unanswered_batch_requests_current,0.0,285.0,5.206896551724138,0.0,37.42536836448215,1400.6581972171814
wal_ghost_inbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_ghost_outbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_recovered_inbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_recovered_outbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
